timestamp,v1,rs1,v2,rs2
17:44:47.269,2.05,14.39,2.0,15.0
17:44:49.325,2.05,14.39,2.034,14.58
17:44:51.384,2.05,14.39,2.056,14.32
17:44:53.434,2.05,14.39,2.055,14.33
17:44:55.461,2.05,14.39,2.075,14.1
17:44:57.507,2.026,14.68,2.112,13.67
17:44:59.550,2.05,14.39,2.15,13.26
17:45:01.585,2.05,14.39,2.148,13.28
17:45:03.619,2.05,14.39,2.098,13.83
17:45:05.680,2.029,14.64,2.053,14.35
17:45:07.717,2.0,15.0,2.081,14.03
17:45:09.778,2.039,14.52,2.072,14.13
17:45:11.822,2.05,14.39,2.024,14.7
17:45:13.868,2.027,14.67,2.0,15.0
17:45:15.911,2.049,14.4,2.02,14.75
17:45:17.957,2.004,14.95,2.005,14.94
17:45:20.015,2.044,14.46,2.016,14.8
17:45:22.045,2.05,14.39,2.039,14.52
17:45:24.086,2.05,14.39,2.0,15.0
17:45:26.134,2.05,14.39,2.0,15.0
17:45:28.185,2.025,14.69,2.002,14.98
17:45:30.224,2.003,14.96,2.0,15.0
17:45:32.283,2.046,14.44,2.032,14.61
17:45:34.353,2.05,14.39,2.036,14.56
17:45:36.407,2.048,14.41,2.02,14.75
17:45:38.462,2.05,14.39,2.0,15.0
17:45:40.503,2.05,14.39,2.005,14.94
17:45:42.548,2.04,14.51,2.023,14.72
17:45:44.589,2.045,14.45,2.02,14.75
17:45:46.643,1.995,15.06,2.0,15.0
17:45:48.683,2.038,14.53,2.0,15.0
17:45:50.736,2.04,14.51,2.013,14.84
17:45:52.801,1.996,15.05,2.0,15.0
17:45:54.843,2.011,14.86,2.0,15.0
17:46:01.901,2.027,14.67,2.059,14.28
17:46:03.941,1.962,15.48,2.043,14.47
17:46:05.976,1.989,15.14,2.094,13.88
17:46:08.046,1.943,15.73,2.134,13.43
17:46:10.106,1.9,16.32,2.15,13.26
17:46:12.149,1.9,16.32,2.111,13.69
17:46:14.202,1.9,16.32,2.026,14.68
17:46:16.241,1.94,15.77,2.052,14.37
17:46:18.280,1.91,16.18,2.062,14.25
17:46:20.332,1.95,15.64,2.071,14.14
17:46:22.396,2.01,14.88,2.025,14.69
17:46:24.457,2.0,15.0,2.057,14.31
17:46:26.515,2.023,14.72,2.0,15.0
17:46:28.561,2.038,14.53,2.025,14.69
17:46:30.616,1.997,15.04,2.06,14.27
17:46:32.658,2.011,14.86,2.08,14.04
17:46:34.699,2.05,14.39,2.077,14.07
17:46:36.768,2.05,14.39,2.0,15.0
17:46:38.825,2.009,14.89,2.0,15.0
17:46:40.867,1.991,15.11,2.001,14.99
17:46:42.945,1.958,15.54,2.035,14.57
17:46:45.005,1.952,15.61,2.058,14.3
17:46:47.056,1.96,15.51,2.113,13.66
17:46:49.091,1.989,15.14,2.107,13.73
17:46:51.142,1.921,16.03,2.15,13.26
17:46:53.198,1.921,16.03,2.15,13.26
17:46:55.239,1.957,15.55,2.15,13.26
17:46:57.283,1.984,15.2,2.118,13.61
17:46:59.340,1.94,15.77,2.15,13.26
17:47:01.380,2.033,14.59,2.072,14.13
17:47:03.424,2.05,14.39,2.117,13.62
17:47:05.457,2.05,14.39,2.082,14.02
17:47:07.491,2.05,14.39,2.037,14.55
17:47:09.550,2.05,14.39,2.07,14.15
17:47:11.909,2.05,14.39,2.053,14.35
17:47:13.973,2.019,14.76,2.072,14.13
17:47:16.033,2.001,14.99,2.053,14.35
17:47:18.078,1.926,15.96,2.008,14.9
17:47:20.130,1.92,16.04,2.0,15.0
17:47:22.186,1.925,15.97,2.0,15.0
17:47:24.223,1.941,15.76,2.034,14.58
17:47:26.270,1.957,15.55,2.0,15.0
17:47:28.312,1.915,16.11,2.043,14.47
17:47:30.366,1.9,16.32,2.052,14.37
17:47:32.410,1.9,16.32,2.085,13.98
17:47:34.452,1.964,15.46,2.063,14.24
17:47:36.517,1.962,15.48,2.055,14.33
17:47:38.553,1.946,15.69,2.084,13.99
17:47:40.608,1.949,15.65,2.091,13.91
17:47:42.672,1.9,16.32,2.01,14.88
17:47:44.731,1.917,16.08,2.0,15.0
17:47:46.772,1.9,16.32,2.004,14.95
17:47:48.829,1.9,16.32,2.063,14.24
17:47:50.882,1.926,15.96,2.132,13.45
17:47:52.932,1.9,16.32,2.132,13.45
17:47:55.006,1.957,15.55,2.068,14.18
17:47:57.044,1.999,15.01,2.098,13.83
17:47:59.087,2.012,14.85,2.123,13.55
17:48:01.132,2.049,14.4,2.128,13.5
17:48:03.171,2.018,14.78,2.135,13.42
17:48:05.201,2.05,14.39,2.109,13.71
17:48:07.233,2.018,14.78,2.088,13.95
17:48:09.273,2.021,14.74,2.138,13.39
17:48:11.326,2.038,14.53,2.108,13.72
17:48:13.365,2.015,14.81,2.045,14.45
17:48:15.409,1.991,15.11,2.023,14.72
17:48:17.455,2.035,14.57,2.045,14.45
17:48:19.499,2.036,14.56,2.032,14.61
17:48:21.563,2.004,14.95,2.022,14.73
17:48:23.625,1.979,15.27,2.043,14.47
17:48:25.687,2.035,14.57,2.06,14.27
17:48:27.723,2.033,14.59,2.052,14.37
17:48:29.790,2.022,14.73,2.082,14.02
17:48:31.844,2.041,14.5,2.059,14.28
17:48:33.924,2.05,14.39,2.066,14.2
17:48:35.953,2.05,14.39,2.081,14.03
17:48:38.020,2.05,14.39,2.067,14.19
17:48:40.077,2.03,14.63,2.078,14.06
17:48:42.115,2.05,14.39,2.104,13.76
17:48:44.213,2.034,14.58,2.073,14.12
17:48:46.285,2.05,14.39,2.048,14.41
17:48:48.342,2.015,14.81,2.053,14.35
17:48:50.393,2.009,14.89,2.018,14.78
17:48:52.451,2.014,14.83,2.0,15.0
17:48:54.512,2.049,14.4,2.0,15.0
17:48:56.563,2.014,14.83,2.047,14.43
17:48:58.600,2.047,14.43,2.074,14.11
17:49:00.637,2.05,14.39,2.091,13.91
