timestamp,raw1,mv1,v1,rs1,raw2,mv2,v2,rs2,true_risk
23:24:14.959,255,1249,1.25,21.89,285,1397,1.397,24.37,Low
23:24:15.959,240,1176,1.177,21.81,314,1536,1.537,23.69,Low
23:24:16.959,235,1153,1.153,22.43,251,1230,1.23,22.58,Low
23:24:17.959,250,1224,1.224,20.47,213,1041,1.041,22.49,Low
23:24:18.959,224,1098,1.099,22.25,238,1163,1.164,21.73,Low
23:24:19.959,275,1346,1.347,21.82,268,1310,1.31,21.72,Low
23:24:20.959,234,1145,1.146,22.09,230,1127,1.127,23.34,Low
23:24:21.959,233,1139,1.14,21.77,247,1209,1.21,24.67,Low
23:24:22.959,245,1198,1.199,21.15,291,1423,1.423,21.9,Low
23:24:23.959,249,1220,1.221,20.43,225,1100,1.101,23.18,Low
23:24:24.959,260,1273,1.274,22.14,262,1282,1.283,22.73,Low
23:24:25.959,215,1052,1.052,21.42,251,1230,1.231,23.95,Low
23:24:26.959,252,1234,1.234,20.59,275,1348,1.349,22.65,Low
23:24:27.959,231,1132,1.132,22.49,297,1454,1.455,23.84,Low
23:24:28.959,228,1116,1.116,21.75,276,1349,1.35,23.88,Low
23:24:29.959,235,1152,1.152,21.85,232,1134,1.134,21.92,Low
23:24:30.959,262,1281,1.281,23.08,263,1289,1.289,23.9,Low
23:24:31.959,252,1236,1.236,21.48,277,1354,1.354,24.38,Low
23:24:32.959,244,1196,1.196,23.25,185,907,0.907,23.74,Low
23:24:33.959,247,1208,1.209,21.76,268,1313,1.314,21.21,Low
23:24:34.959,241,1178,1.178,22.29,311,1521,1.522,22.53,Low
23:24:35.959,228,1119,1.119,21.6,294,1437,1.437,23.3,Low
23:24:36.959,234,1147,1.147,22.41,268,1314,1.315,23.87,Low
23:24:37.959,231,1129,1.13,21.74,253,1241,1.241,21.68,Low
23:24:38.959,251,1229,1.23,22.21,266,1300,1.301,22.79,Low
23:24:39.959,216,1058,1.058,21.66,255,1248,1.249,22.28,Low
23:24:40.959,242,1183,1.184,22.32,323,1582,1.583,23.16,Low
23:24:41.959,250,1225,1.226,21.94,207,1012,1.012,22.98,Low
23:24:42.959,246,1206,1.206,23.97,260,1271,1.271,23.27,Low
23:24:43.959,244,1196,1.197,21.07,301,1471,1.471,23.68,Low
23:24:44.959,261,1279,1.279,21.27,309,1510,1.51,21.74,Low
23:24:45.959,257,1258,1.259,23.75,235,1151,1.151,22.49,Low
23:24:46.959,247,1209,1.21,21.6,218,1067,1.067,23.06,Low
23:24:47.959,223,1093,1.094,22.38,237,1162,1.162,24.39,Low
23:24:48.959,229,1121,1.122,21.74,290,1422,1.422,21.89,Low
23:24:49.959,250,1222,1.223,23.05,216,1058,1.059,23.17,Low
23:24:50.959,250,1225,1.226,22.63,228,1114,1.114,21.81,Low
23:24:51.959,256,1252,1.252,22.24,273,1337,1.338,23.31,Low
23:24:52.959,231,1131,1.132,22.19,274,1343,1.344,22.36,Low
23:24:53.959,283,1386,1.387,22.38,229,1121,1.121,23.59,Low
23:24:54.959,225,1102,1.103,22.63,301,1473,1.474,22.26,Low
23:24:55.959,265,1296,1.296,22.33,291,1423,1.423,24.71,Low
23:24:56.959,240,1175,1.175,21.4,238,1166,1.167,22.27,Low
23:24:57.959,243,1192,1.192,22.27,274,1341,1.342,23.74,Low
23:24:58.959,245,1201,1.201,23.16,257,1260,1.26,25.45,Low
23:24:59.959,258,1262,1.263,21.31,233,1139,1.139,23.43,Low
23:25:00.959,240,1177,1.178,22.57,280,1370,1.371,22.93,Low
23:25:01.959,228,1115,1.115,20.79,252,1233,1.233,23.77,Low
23:25:02.959,249,1221,1.221,21.0,271,1325,1.326,23.35,Low
23:25:03.959,227,1111,1.112,22.12,267,1308,1.309,21.97,Low
23:25:04.959,252,1235,1.236,22.45,299,1462,1.462,23.95,Low
23:25:05.959,217,1062,1.062,21.25,281,1377,1.377,23.46,Low
23:25:06.959,256,1251,1.252,25.08,283,1385,1.386,24.02,Low
23:25:07.959,265,1295,1.295,22.52,256,1252,1.253,23.68,Low
23:25:08.959,229,1122,1.123,21.81,251,1227,1.227,23.07,Low
23:25:09.959,292,1431,1.431,20.51,287,1402,1.403,21.55,Low
23:25:10.959,235,1152,1.153,22.87,267,1309,1.31,22.03,Low
23:25:11.959,230,1128,1.128,22.54,243,1190,1.19,23.19,Low
23:25:12.959,246,1204,1.205,21.48,331,1621,1.622,23.57,Low
23:25:13.959,204,997,0.997,22.15,245,1200,1.201,23.77,Low
23:25:14.959,229,1120,1.121,21.91,281,1375,1.376,23.78,Low
23:25:15.959,220,1079,1.08,21.73,251,1228,1.229,22.41,Low
23:25:16.959,281,1376,1.377,22.32,227,1110,1.111,23.83,Low
23:25:17.959,288,1412,1.412,22.83,219,1072,1.072,22.56,Low
23:25:18.959,271,1326,1.327,21.43,279,1366,1.367,23.7,Low
23:25:19.959,226,1107,1.107,21.95,166,813,0.814,22.08,Low
23:25:20.959,240,1174,1.175,21.0,316,1544,1.545,21.71,Low
23:25:21.959,236,1155,1.156,22.1,310,1516,1.516,21.71,Low
23:25:22.959,269,1316,1.316,22.01,235,1152,1.153,23.42,Low
23:25:23.959,249,1219,1.22,21.52,268,1310,1.31,22.65,Low
23:25:24.959,247,1211,1.211,22.53,314,1537,1.538,21.89,Low
23:25:25.959,289,1413,1.413,20.44,261,1277,1.277,23.53,Low
23:25:26.959,251,1228,1.228,21.5,259,1268,1.269,22.56,Low
23:25:27.959,233,1141,1.141,22.68,276,1353,1.354,22.38,Low
23:25:28.959,263,1289,1.29,22.25,290,1421,1.422,23.57,Low
23:25:29.959,228,1117,1.117,21.55,288,1412,1.412,23.55,Low
23:25:30.959,245,1197,1.198,22.09,305,1491,1.492,22.47,Low
23:25:31.959,256,1254,1.255,21.84,259,1267,1.267,23.99,Low
23:25:32.959,262,1282,1.283,22.65,306,1495,1.496,23.02,Low
