timestamp,v1,rs1,v2,rs2,compound
17:40:38.558,1.25,21.93,1.365,23.76,Baseline
17:40:39.558,1.108,21.94,1.099,22.75,Baseline
17:40:40.558,1.142,21.74,1.243,22.54,Baseline
17:40:41.558,0.956,22.3,1.275,22.92,Baseline
17:40:42.558,1.207,21.29,1.246,23.06,Baseline
17:40:43.558,1.147,22.96,1.097,23.56,Baseline
17:40:44.558,1.229,21.68,1.198,22.92,Baseline
17:40:45.558,1.282,21.39,1.321,22.02,Baseline
17:40:46.558,1.154,22.03,1.282,23.6,Baseline
17:40:47.558,1.217,22.16,1.375,22.08,Baseline
17:40:48.558,1.099,21.21,1.377,22.73,Baseline
17:40:49.558,1.21,22.21,1.205,22.48,Baseline
17:40:50.558,1.132,22.31,1.403,23.47,Baseline
17:40:51.558,1.27,22.09,1.366,23.12,Baseline
17:40:52.558,1.11,21.94,1.447,22.44,Baseline
17:40:53.558,1.281,22.68,1.293,23.5,Baseline
17:40:54.558,1.107,22.39,1.239,23.17,Baseline
17:40:55.558,1.058,22.52,1.39,23.01,Baseline
17:40:56.558,1.287,23.14,1.462,23.41,Baseline
17:40:57.558,1.292,22.16,1.247,23.26,Baseline
17:40:58.558,1.166,22.38,1.267,22.57,Baseline
17:40:59.558,1.174,21.82,1.427,22.85,Baseline
17:41:00.558,1.201,21.88,1.158,22.79,Baseline
17:41:01.558,1.109,21.59,1.252,22.72,Baseline
17:41:02.558,1.226,21.96,1.108,22.99,Baseline
17:41:03.558,1.194,22.17,1.292,22.88,Baseline
17:41:04.558,1.143,21.79,1.334,23.0,Baseline
17:41:05.558,1.124,22.08,1.168,22.67,Baseline
17:41:06.558,1.34,21.3,1.359,24.1,Baseline
17:41:07.558,1.151,22.46,1.471,23.44,Baseline
17:41:08.558,1.289,22.3,1.228,22.87,Baseline
17:41:09.558,1.243,20.77,1.348,23.46,Baseline
17:41:10.558,1.164,22.28,1.404,23.26,Baseline
17:41:11.558,1.206,22.25,1.285,23.09,Baseline
17:41:12.558,1.282,22.24,1.271,23.53,Baseline
17:41:13.558,1.132,22.12,1.329,22.64,Baseline
17:41:14.558,1.101,21.45,1.012,22.6,Baseline
17:41:15.558,1.273,21.52,1.225,22.43,Baseline
17:41:16.558,1.334,21.63,1.204,23.55,Baseline
17:41:17.558,1.175,21.62,1.211,22.59,Baseline
17:41:18.558,1.199,22.21,1.286,23.44,Baseline
17:41:19.558,1.473,22.05,1.159,22.98,Baseline
17:41:20.558,1.478,21.98,1.299,23.1,Baseline
17:41:21.558,1.178,22.36,1.347,22.96,Baseline
17:41:22.558,1.105,21.7,1.289,22.13,Baseline
17:41:23.558,1.271,22.05,1.363,23.88,Baseline
17:41:24.558,1.264,21.46,1.169,22.62,Baseline
17:41:25.558,1.288,21.78,1.342,22.64,Baseline
17:41:26.558,1.291,21.7,1.33,23.13,Baseline
17:41:27.558,1.082,22.25,1.283,22.66,Baseline
17:41:28.558,1.168,22.38,1.223,22.88,Baseline
17:41:29.558,1.196,21.73,1.121,23.18,Baseline
17:41:30.558,1.159,22.3,1.101,23.21,Baseline
17:41:31.558,1.128,22.34,1.227,23.11,Baseline
17:41:32.558,1.163,21.35,1.223,23.21,Baseline
17:41:33.558,1.202,22.22,1.405,22.69,Baseline
17:41:34.558,1.359,21.78,1.227,22.71,Baseline
17:41:35.558,1.25,22.43,1.18,22.83,Baseline
17:41:36.558,1.045,21.83,1.318,23.29,Baseline
17:41:37.558,1.238,22.83,1.167,23.92,Baseline
17:41:38.558,1.082,22.11,1.266,22.59,Baseline
17:41:39.558,1.172,21.7,1.245,23.55,Baseline
17:41:40.558,1.363,21.28,1.256,23.07,Baseline
17:41:41.558,1.206,23.17,1.34,23.45,Baseline
